kogudus,auskoht,aasta,liikmeid_kokku,keskmiselt_vottis_jumala_teenistustest_osa,ristiti,maeti,laulatati,abielu_registreeriti,noorte_toos_osales,lastetoos_osales,annetaja_liikmeid_oli_kokku,praostkond,tulud_kokku,liikmeannetused_eur,korjandused_eur,ametitalitused_eur,avaliku_sektori_toetused_kokku_eur,tulu_kinnisvarast_eur,valisannetused_ja_toetused_kokku_eur,kulud_kokku_eur
Ilumäe Kogudus,vald91,2017,59,12,2,5,2,0,0,0,27,Viru,18 357 €,2 604 €, 826 €, 370 €,4 400 €, 0 €, 220 €,11 707 €
Ilumäe Kogudus,vald92,2018,58,11,0,2,0,0,0,0,28,Viru,27 703 €,2 630 €,1 526 €, 250 €,8 400 €, 0 €, 225 €,28 103 €
Ilumäe Kogudus,vald93,2019,90,16,1,4,0,0,0,0,30,Viru,17 356 €,2 635 €,1 533 €, 0 €,10 291 €, 0 €, 500 €,15 007 €
Ilumäe Kogudus,vald94,2020,60,12,1,0,1,0,0,0,25,Viru,29 114 €,2 900 €, 276 €, 500 €,19 188 €, 105 €,1 175 €,25 810 €
Jämaja Kolmainu Kogudus,vald95,2017,312,25,7,8,1,1,13,24,136,Saarte,7 132 €,2 675 €, 716 €, 920 €, 0 €, 900 €,1 051 €,7 436 €
Jämaja Kolmainu Kogudus,vald96,2018,314,21,4,2,1,0,0,10,134,Saarte,21 931 €,2 675 €, 711 €, 662 €,6 200 €, 830 €,5 703 €,17 008 €
Jämaja Kolmainu Kogudus,vald97,2019,316,22,9,6,0,0,0,12,120,Saarte,18 875 €,2 745 €,1 177 €, 906 €,2 980 €, 880 €,4 082 €,13 973 €
Jämaja Kolmainu Kogudus,vald98,2020,313,13,1,4,2,0,0,0,115,Saarte,14 615 €,2 970 €, 959 €, 991 €,6 655 €, 830 €,1 502 €,14 331 €
Järva-Jaani Ristija Johannese Kogudus,vald99,2017,462,27,6,16,0,0,27,10,161,Järva,113 388 €,6 332 €,3 814 €,2 855 €,3 100 €,12 264 €,4 879 €,112 901 €
Järva-Jaani Ristija Johannese Kogudus,vald100,2018,456,25,10,16,1,1,30,13,157,Järva,76 028 €,6 096 €,3 717 €,2 790 €,3 100 €,12 394 €,6 850 €,77 339 €
Järva-Jaani Ristija Johannese Kogudus,vald101,2019,447,26,5,14,3,2,25,10,159,Järva,71 561 €,6 800 €,4 488 €,3 484 €,7 822 €,11 394 €,7 073 €,70 921 €
Järva-Jaani Ristija Johannese Kogudus,vald102,2020,449,11,16,14,0,0,11,8,159,Järva,79 316 €,6 818 €,5 138 €,3 340 €,33 597 €,12 685 €,7 380 €,70 666 €
Järvakandi Pauluse Kogudus,vald103,2017,80,22,0,5,0,0,0,0,29,Lääne-Harju,6 952 €,1 150 €, 961 €, 220 €, 200 €, 0 €,3 776 €,10 245 €
