kogudus,auskoht,aasta,liikmeid_kokku,keskmiselt_vottis_jumala_teenistustest_osa,ristiti,maeti,laulatati,abielu_registreeriti,noorte_toos_osales,lastetoos_osales,annetaja_liikmeid_oli_kokku,praostkond,tulud_kokku,liikmeannetused_eur,korjandused_eur,ametitalitused_eur,avaliku_sektori_toetused_kokku_eur,tulu_kinnisvarast_eur,valisannetused_ja_toetused_kokku_eur,kulud_kokku_eur
Nõmme Rahu Kogudus,vald328,2020,3500,70,19,33,5,5,0,15,301,Tallinna,103 897 €,38 391 €,8 982 €,8 400 €,22 630 €,17 092 €,5 368 €,76 872 €
Nõo Püha Laurentsiuse Kogudus,vald329,2017,630,21.3,3,22,1,0,9,13,185,Valga,52 934 €,11 597 €,4 639 €, 0 €,16 623 €, 881 €, 298 €,51 149 €
Nõo Püha Laurentsiuse Kogudus,vald330,2018,650,20.7,15,21,1,1,0,8,184,Valga,28 229 €,10 807 €,5 475 €, 0 €,6 623 €, 881 €,1 263 €,29 137 €
Nõo Püha Laurentsiuse Kogudus,vald331,2019,650,21,14,22,0,0,1,6,180,Valga,161 308 €,13 316 €,3 883 €, 0 €,5 223 €,2 300 €, 120 €,94 883 €
Nõo Püha Laurentsiuse Kogudus,vald332,2020,650,15.7,11,14,0,0,0,6,175,Valga,149 859 €,12 997 €,4 834 €, 0 €,37 407 €,92 300 €, 0 €,143 059 €
Nõva Püha Olevi Kogudus,vald333,2017,215,16,2,2,2,0,0,8,47,Lääne,8 311 €,2 600 €,1 019 €, 110 €, 0 €, 320 €, 270 €,6 782 €
Nõva Püha Olevi Kogudus,vald334,2018,210,18,4,4,0,0,0,6,48,Lääne,33 363 €,2 905 €,1 495 €, 210 €,2 750 €,14 507 €,3 200 €,21 135 €
Nõva Püha Olevi Kogudus,vald335,2019,213,18,0,3,1,0,0,5,48,Lääne,82 486 €,2 590 €, 892 €, 100 €, 750 €,9 341 €,5 050 €,98 233 €
Nõva Püha Olevi Kogudus,vald336,2020,255,12,0,3,0,0,0,0,47,Lääne,18 090 €,3 190 €, 986 €, 50 €,3 490 €,5 423 €, 0 €,16 455 €
Orissaare Kogudus,vald337,2017,303,8,2,3,3,0,0,0,40,Saarte,42 514 €,2 586 €, 100 €,1 215 €, 0 €,9 231 €, 0 €,41 660 €
Orissaare Kogudus,vald338,2018,306,8,3,8,4,1,0,0,26,Saarte,65 742 €,2 033 €, 0 €, 510 €,2 765 €,29 455 €, 0 €,64 633 €
Orissaare Kogudus,vald339,2019,306,9,0,8,1,0,0,0,29,Saarte,74 260 €,2 988 €, 0 €,1 255 €,1 000 €,32 882 €, 0 €,75 388 €
Orissaare Kogudus,vald340,2020,315,11,2,11,1,1,0,0,41,Saarte,47 526 €,3 052 €, 0 €,2 620 €,4 166 €,10 141 €, 0 €,47 944 €
Otepää Maarja Kogudus,vald341,2017,475,45,10,57,7,5,0,0,251,Valga,45 185 €,5 228 €,2 029 €, 440 €,35 600 €, 0 €, 300 €,43 870 €
Otepää Maarja Kogudus,vald342,2018,600,50,8,59,5,5,0,0,226,Valga,27 147 €,5 266 €,2 085 €, 95 €,19 200 €, 0 €, 500 €,29 641 €
Otepää Maarja Kogudus,vald343,2019,520,50,11,51,6,3,0,0,215,Valga,11 416 €,6 713 €,1 996 €, 130 €,2 000 €, 0 €, 500 €,12 150 €
Otepää Maarja Kogudus,vald344,2020,523,15,6,60,6,5,0,0,221,Valga,24 199 €,8 441 €,1 174 €, 90 €,4 345 €, 0 €,10 000 €,8 613 €
Paide Püha Risti Kogudus,vald345,2017,510,26,0,7,0,0,0,0,78,Järva,38 631 €,4 482 €,1 855 €, 100 €,14 000 €,3 160 €,1 001 €,42 932 €
Paide Püha Risti Kogudus,vald346,2018,512,30,4,2,0,0,0,0,55,Järva,47 086 €,4 998 €,4 627 €, 100 €,19 500 €,2 061 €, 500 €,47 999 €
Paide Püha Risti Kogudus,vald347,2019,520,32,6,8,3,0,0,0,54,Järva,96 076 €,5 198 €,4 310 €,1 290 €,79 975 €,1 855 €, 150 €,96 315 €
Paide Püha Risti Kogudus,vald348,2020,152,15,6,5,0,0,0,0,52,Järva,39 179 €,5 397 €,2 015 €, 950 €,23 620 €,2 782 €, 0 €,36 495 €
Paistu Maarja Kogudus,vald349,2017,48,14,0,5,0,0,0,0,48,Viljandi,39 038 €,1 390 €,2 491 €, 120 €,4 150 €,2 144 €, 900 €,38 334 €
Paistu Maarja Kogudus,vald350,2018,158,14,0,3,0,0,0,0,46,Viljandi,31 896 €,1 275 €,2 735 €, 70 €,2 298 €,2 658 €,4 657 €,31 210 €
Paistu Maarja Kogudus,vald351,2019,151,10,2,1,0,0,0,0,41,Viljandi,14 218 €,1 870 €,2 671 €, 0 €,1 800 €,2 974 €, 250 €,18 903 €
Paistu Maarja Kogudus,vald352,2020,177,8,0,4,0,0,0,0,33,Viljandi,11 454 €,1 705 €,1 627 €, 0 €,4 594 €,3 417 €, 0 €,12 339 €
Palamuse Püha Bartholomeuse Kogudus,vald353,2017,200,19,2,10,0,0,0,9,46,Tartu,38 133 €,2 108 €,4 312 €, 600 €,1 437 €,23 744 €,5 932 €,33 437 €
Palamuse Püha Bartholomeuse Kogudus,vald354,2018,200,22,5,22,1,1,0,8,49,Tartu,38 062 €,2 583 €,2 394 €, 280 €,1 200 €,21 714 €,9 092 €,36 329 €
Palamuse Püha Bartholomeuse Kogudus,vald355,2019,200,15,2,15,0,0,0,10,39,Tartu,39 601 €,1 752 €,5 200 €, 195 €,6 110 €,18 846 €,6 219 €,39 935 €
Palamuse Püha Bartholomeuse Kogudus,vald356,2020,200,9,1,12,1,1,0,10,41,Tartu,40 014 €,2 207 €,2 570 €, 70 €,4 550 €,16 586 €,7 950 €,48 887 €
Paldiski Nikolai Kogudus,vald357,2017,130,6,0,1,0,0,0,0,16,Lääne-Harju,11 280 €, 530 €,1 526 €, 50 €,1 680 €, 0 €,5 638 €,9 966 €
Paldiski Nikolai Kogudus,vald358,2018,128,5.5,0,0,0,0,0,0,17,Lääne-Harju,8 377 €, 539 €, 726 €, 0 €, 700 €, 0 €,5 953 €,22 459 €
Paldiski Nikolai Kogudus,vald359,2019,128,6,0,1,0,0,0,0,14,Lääne-Harju,8 631 €, 492 €,1 020 €, 50 €, 350 €, 0 €,5 429 €,10 316 €
Paldiski Nikolai Kogudus,vald360,2020,128,6,0,1,0,0,0,0,18,Lääne-Harju,7 122 €, 665 €, 570 €, 50 €, 550 €, 0 €,5 167 €,5 242 €
Pärnu Eliisabeti Kogudus,vald361,2017,6000,50,16,50,5,0,0,20,1444,Pärnu,492 453 €,27 231 €,39 438 €,5 913 €,21 000 €,106 700 €,3 400 €,319 403 €
Pärnu Eliisabeti Kogudus,vald362,2018,5983,60,19,43,7,0,0,12,1157,Pärnu,298 137 €,25 377 €,25 749 €,5 926 €,115 821 €,111 991 €,3 900 €,393 400 €
Pärnu Eliisabeti Kogudus,vald363,2019,5978,61,32,37,2,0,0,12,1076,Pärnu,296 583 €,28 068 €,20 123 €,6 625 €,91 852 €,118 010 €,3 500 €,292 394 €
Pärnu Eliisabeti Kogudus,vald364,2020,5874,46,16,27,2,0,0,8,823,Pärnu,312 258 €,28 319 €,24 981 €,5 589 €,180 113 €,69 774 €,2 500 €,282 479 €
Pärnu-Jakobi Kogudus,vald365,2017,1000,7,0,13,0,0,0,0,161,Pärnu,26 786 €,4 491 €, 984 €, 965 €,7 696 €,10 086 €,2 364 €,21 994 €
Pärnu-Jakobi Kogudus,vald366,2018,0,6,0,11,1,0,0,0,139,Pärnu,33 423 €,3 748 €, 868 €,1 315 €,13 184 €,11 474 €, 964 €,28 001 €
Pärnu-Jakobi Kogudus,vald367,2019,950,18,6,14,1,0,0,0,141,Pärnu,44 432 €,4 721 €,2 812 €,1 915 €,10 626 €,8 485 €,2 908 €,44 065 €
Pärnu-Jakobi Kogudus,vald368,2020,968,11,2,12,0,0,0,0,109,Pärnu,68 527 €,3 290 €,3 641 €,1 450 €,17 429 €,40 042 €,1 448 €,36 310 €
Petseri Peetri Kogudus,vald369,2017,15,3,0,1,0,0,0,0,12,Võru, 424 €, 196 €, 6 €, 0 €, 0 €, 0 €, 0 €, 247 €
Petseri Peetri Kogudus,vald370,2018,12,2,0,1,0,0,0,0,12,Võru,1 832 €, 210 €, 415 €, 0 €, 0 €, 0 €, 0 €,1 816 €
Petseri Peetri Kogudus,vald371,2019,21,2,0,0,0,0,0,0,11,Võru,3 344 €, 154 €, 312 €, 0 €,2 543 €, 0 €, 0 €,1 777 €
Petseri Peetri Kogudus,vald372,2020,38,2,0,1,0,0,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
Piirsalu Kogudus,vald373,2017,390,13,1,2,0,0,0,0,43,Lääne,6 658 €,3 975 €, 405 €, 150 €, 0 €, 685 €, 300 €,6 769 €
Piirsalu Kogudus,vald374,2018,110,15,1,1,0,0,0,0,44,Lääne,8 103 €,3 935 €, 645 €, 155 €, 0 €, 659 €,1 120 €,5 691 €
Piirsalu Kogudus,vald375,2019,110,15,2,1,0,0,0,0,41,Lääne,6 801 €,4 250 €, 405 €, 150 €, 0 €, 917 €, 600 €,8 067 €
Piirsalu Kogudus,vald376,2020,91,10,0,2,0,0,0,0,40,Lääne,8 940 €,5 339 €, 375 €, 25 €,2 030 €, 917 €, 0 €,7 142 €
Pilistvere Andrease Kogudus,vald377,2017,561,39,9,23,0,0,15,0,72,Viljandi,191 932 €,2 735 €,3 882 €,4 371 €,28 550 €,1 064 €,87 338 €,193 165 €
Pilistvere Andrease Kogudus,vald378,2018,552,36,2,18,0,0,19,0,82,Viljandi,183 362 €,3 472 €,2 882 €,3 194 €,13 198 €, 0 €,87 644 €,187 664 €
Pilistvere Andrease Kogudus,vald379,2019,550,37,10,19,0,0,14,0,69,Viljandi,178 679 €,3 571 €,2 125 €,1 650 €,21 500 €,2 128 €,79 489 €,178 116 €
Pilistvere Andrease Kogudus,vald380,2020,551,16,1,16,1,0,15,0,83,Viljandi,125 728 €,3 337 €,1 763 €, 650 €,23 000 €,1 064 €,51 059 €,99 088 €
Pindi Kogudus,vald381,2017,700,20,13,28,1,0,0,0,264,Võru,35 272 €,10 432 €,5 834 €,1 161 €,8 485 €, 684 €, 0 €,34 897 €
Pindi Kogudus,vald382,2018,700,20,24,34,4,0,0,0,270,Võru,27 929 €,10 586 €,6 034 €,1 567 €,8 330 €, 568 €, 0 €,26 291 €
Pindi Kogudus,vald383,2019,500,20,10,24,1,0,0,0,252,Võru,50 975 €,11 236 €,9 621 €,1 557 €,26 796 €, 913 €, 0 €,45 590 €
Pindi Kogudus,vald384,2020,700,15,19,35,2,0,0,0,245,Võru,47 908 €,11 197 €,6 773 €,1 625 €,24 705 €,1 842 €, 0 €,49 927 €
Pöide Maarja Kogudus,vald385,2017,80,20,2,3,0,0,0,0,28,Saarte,9 646 €,1 528 €,2 035 €, 0 €,1 296 €, 801 €,1 104 €,11 319 €
Pöide Maarja Kogudus,vald386,2018,75,16,0,7,0,0,0,0,27,Saarte,8 381 €,1 396 €,3 134 €, 0 €,1 700 €, 801 €, 0 €,5 982 €
Pöide Maarja Kogudus,vald387,2019,75,16,0,2,0,0,0,0,22,Saarte,12 033 €,1 125 €,2 503 €, 100 €,3 338 €, 801 €, 0 €,19 134 €
Pöide Maarja Kogudus,vald388,2020,75,10,0,1,0,0,0,0,29,Saarte,21 604 €,1 645 €,3 082 €, 50 €,1 541 €, 801 €, 0 €,14 541 €
Põltsamaa Niguliste Kogudus,vald389,2017,3500,52,20,48,3,1,10,37,827,Viljandi,151 720 €,19 662 €,17 980 €,6 745 €,23 500 €,26 777 €,24 354 €,175 818 €
Põltsamaa Niguliste Kogudus,vald390,2018,3500,46,16,48,6,5,5,39,805,Viljandi,155 577 €,21 207 €,16 432 €,6 454 €,26 700 €,19 940 €,30 473 €,148 857 €
Põltsamaa Niguliste Kogudus,vald391,2019,3500,41.84,19,62,1,1,7,30,761,Viljandi,148 460 €,21 212 €,21 306 €,5 638 €,24 510 €,19 000 €,31 718 €,139 000 €
Põltsamaa Niguliste Kogudus,vald392,2020,3500,0,12,55,4,4,0,28,750,Viljandi,142 292 €,23 022 €,13 374 €,7 202 €,29 222 €,11 984 €,43 890 €,191 725 €
Põlva Püha Neitsi Maarja Kogudus,vald393,2017,1500,32,5,24,4,0,6,21,256,Võru,118 832 €,9 615 €,3 759 €, 690 €,21 557 €,80 424 €, 0 €,146 657 €
Põlva Püha Neitsi Maarja Kogudus,vald394,2018,1200,35,29,63,3,0,8,25,244,Võru,90 353 €,10 076 €,4 011 €,1 845 €,17 800 €,56 148 €, 0 €,167 322 €
Põlva Püha Neitsi Maarja Kogudus,vald395,2019,2700,38,2,72,2,0,8,27,258,Võru,113 512 €,12 549 €,3 382 €,1 849 €,30 000 €,64 569 €, 0 €,121 917 €
Põlva Püha Neitsi Maarja Kogudus,vald396,2020,2650,29,4,70,5,0,9,13,253,Võru,220 337 €,13 278 €,2 418 €,3 465 €,111 161 €,84 039 €, 0 €,182 944 €
Prangli Laurentsiuse Kogudus,vald397,2017,30,4,0,0,0,0,0,0,12,Ida-Harju,1 807 €, 405 €, 0 €, 0 €,1 400 €, 0 €, 0 €, 138 €
Prangli Laurentsiuse Kogudus,vald398,2018,50,10,0,1,0,0,0,0,12,Ida-Harju,3 644 €, 847 €, 625 €, 0 €,2 100 €, 0 €, 0 €, 720 €
Prangli Laurentsiuse Kogudus,vald399,2019,80,12,5,2,0,0,0,0,10,Ida-Harju,1 826 €, 435 €,1 360 €, 0 €, 0 €, 0 €, 0 €, 356 €
Prangli Laurentsiuse Kogudus,vald400,2020,80,22,1,1,0,0,0,0,9,Ida-Harju,3 521 €, 610 €, 0 €, 25 €,2 840 €, 0 €, 0 €,11 707 €
Püha Jakobi Kogudus,vald401,2017,492,29,6,9,2,1,0,44,216,Saarte,60 550 €,6 015 €,3 025 €,1 665 €,2 850 €,3 567 €,15 660 €,53 214 €
Püha Jakobi Kogudus,vald402,2018,489,24,0,7,3,3,0,49,215,Saarte,72 604 €,7 725 €,2 469 €,1 205 €,7 700 €,4 350 €,18 759 €,86 167 €
Püha Jakobi Kogudus,vald403,2019,490,24,8,5,3,2,2,47,214,Saarte,182 067 €,7 728 €,2 506 €,1 240 €,106 700 €,4 778 €,5 402 €,178 936 €
Püha Jakobi Kogudus,vald404,2020,490,16,5,6,3,2,0,6,209,Saarte,64 784 €,8 753 €,1 751 €,1 540 €,30 400 €,5 923 €,14 754 €,59 846 €
Pühajõe Maarja Kogudus,vald405,2017,161,11,3,1,0,0,0,25,39,Viru,6 027 €,2 009 €,1 393 €, 275 €, 960 €, 0 €,1 390 €,6 337 €
Pühajõe Maarja Kogudus,vald406,2018,157,11,0,0,2,1,0,14,35,Viru,30 859 €,1 820 €,1 209 €, 300 €, 960 €, 250 €,1 240 €,2 915 €
Pühajõe Maarja Kogudus,vald407,2019,156,11,1,1,0,0,0,19,34,Viru,57 423 €,2 262 €,4 000 €, 275 €,11 000 €, 180 €,1 468 €,79 313 €
Pühajõe Maarja Kogudus,vald408,2020,200,9,1,2,1,0,0,12,29,Viru,6 258 €,2 268 €, 930 €, 155 €, 910 €, 560 €,1 435 €,9 597 €
Pühalepa Laurentsiuse Kogudus,vald409,2017,150,13,1,3,2,2,0,0,17,Saarte,6 863 €,1 222 €,1 524 €, 598 €,1 500 €,1 025 €, 594 €,6 740 €
Pühalepa Laurentsiuse Kogudus,vald410,2018,150,13,2,3,1,1,0,0,17,Saarte,7 023 €,1 282 €,1 668 €, 630 €,1 150 €,1 531 €, 237 €,4 828 €
Pühalepa Laurentsiuse Kogudus,vald411,2019,150,11,0,1,0,0,0,0,19,Saarte,13 034 €,1 192 €,1 404 €, 300 €,8 250 €,1 110 €, 276 €,11 633 €
Pühalepa Laurentsiuse Kogudus,vald412,2020,150,7,0,2,1,1,0,0,18,Saarte,5 179 €,1 134 €, 891 €, 570 €,1 369 €, 880 €, 0 €,5 156 €
Puhja Kogudus,vald413,2017,240,16,2,6,0,0,0,29,51,Valga,20 726 €,2 283 €,3 098 €, 0 €,1 670 €, 0 €,7 822 €,18 412 €
Puhja Kogudus,vald414,2018,230,16,1,4,2,2,0,20,50,Valga,40 007 €,2 864 €,2 439 €, 0 €,2 464 €, 0 €,5 458 €,40 959 €
Puhja Kogudus,vald415,2019,240,15,8,6,1,1,0,37,57,Valga,130 961 €,4 093 €,7 932 €, 0 €,47 036 €, 0 €,4 127 €,123 625 €
Puhja Kogudus,vald416,2020,269,9.7,10,5,1,1,0,33,60,Valga,254 261 €,3 790 €,6 598 €, 0 €,228 528 €, 0 €,3 940 €,255 785 €
Rakvere Kolmainu Kogudus,vald417,2017,993,64,24,21,6,6,0,12,211,Viru,99 143 €,19 758 €,6 679 €,4 045 €,2 800 €,23 034 €,1 250 €,113 287 €
Rakvere Kolmainu Kogudus,vald418,2018,1074,51,10,15,9,5,0,11,200,Viru,102 794 €,20 983 €,11 129 €,2 845 €,15 000 €,24 370 €, 0 €,120 752 €
Rakvere Kolmainu Kogudus,vald419,2019,1048,59,36,22,2,2,0,8,214,Viru,169 883 €,19 315 €,8 189 €,4 340 €,42 219 €,17 197 €,1 600 €,163 229 €
Rakvere Kolmainu Kogudus,vald420,2020,1082,40,23,14,7,6,0,12,216,Viru,373 675 €,21 996 €,8 507 €,4 275 €,263 724 €,18 633 €, 0 €,441 499 €
Randvere Kogudus,vald421,2017,92,16,0,1,0,0,0,0,52,Ida-Harju,16 578 €,2 337 €,3 147 €, 150 €,10 567 €, 0 €, 0 €,12 942 €
Randvere Kogudus,vald422,2018,96,16,0,1,2,0,0,0,49,Ida-Harju,10 036 €,2 555 €,2 436 €, 563 €,1 977 €, 0 €,2 189 €,11 963 €
Randvere Kogudus,vald423,2019,92,15,0,5,0,0,0,0,50,Ida-Harju,9 651 €,2 790 €,1 932 €, 630 €,2 991 €, 173 €, 501 €,8 639 €
Randvere Kogudus,vald424,2020,90,12,0,3,0,0,0,0,43,Ida-Harju,10 464 €,2 830 €,2 260 €, 250 €,4 020 €, 0 €, 0 €,10 556 €
Rannamõisa Kogudus,vald425,2017,700,47.1,9,19,3,0,25,24,118,Lääne-Harju,47 851 €,4 341 €,39 300 €, 960 €, 0 €,2 199 €,1 000 €,43 415 €
Rannamõisa Kogudus,vald426,2018,700,44.5,6,17,3,0,20,20,125,Lääne-Harju,47 751 €,4 366 €,37 495 €,1 182 €, 0 €,1 045 €,3 606 €,45 674 €
Rannamõisa Kogudus,vald427,2019,700,45.1,10,26,1,0,25,17,105,Lääne-Harju,56 695 €,5 735 €,39 880 €,1 257 €,5 112 €,2 230 €,2 259 €,54 679 €
Rannamõisa Kogudus,vald428,2020,700,35,4,13,2,0,8,15,118,Lääne-Harju,54 827 €,9 717 €,40 702 €, 831 €,2 180 €, 595 €, 800 €,58 676 €
Rannu Püha Martini Kogudus,vald429,2017,140,5.5,0,3,0,0,0,0,18,Valga,20 874 €, 390 €, 191 €, 80 €,9 641 €,4 158 €,5 064 €,18 242 €
Rannu Püha Martini Kogudus,vald430,2018,140,14,2,2,0,0,0,45,14,Valga,12 301 €, 665 €, 881 €, 330 €,2 000 €,2 254 €, 0 €,11 021 €
Rannu Püha Martini Kogudus,vald431,2019,153,22,5,9,0,0,0,10,31,Valga,40 565 €,3 730 €,3 270 €, 250 €,29 582 €,2 254 €,1 278 €,36 095 €
Rannu Püha Martini Kogudus,vald432,2020,163,12,6,5,0,0,0,8,36,Valga,30 749 €,3 836 €, 195 €, 100 €,11 576 €, 350 €,2 016 €,42 306 €
Räpina Miikaeli Kogudus,vald433,2017,1650,45,10,41,3,2,7,12,485,Võru,346 098 €,14 103 €,9 781 €,3 250 €,5 860 €,2 409 €,1 977 €,349 287 €
Räpina Miikaeli Kogudus,vald434,2018,950,45,10,43,3,3,8,12,450,Võru,320 710 €,15 468 €,8 659 €,2 630 €,5 236 €,2 814 €,9 539 €,317 147 €
Räpina Miikaeli Kogudus,vald435,2019,1500,45,10,35,3,3,5,15,435,Võru,381 757 €,15 437 €,9 866 €,2 950 €,5 230 €,2 699 €,1 974 €,331 782 €
Räpina Miikaeli Kogudus,vald436,2020,1500,30,8,37,3,2,5,15,400,Võru,382 557 €,15 418 €,9 097 €,2 295 €,18 280 €,2 409 €, 828 €,328 858 €
Rapla Maarja-Magdaleena Kogudus,vald437,2017,2300,65,40,66,14,14,0,9,514,Lääne-Harju,197 355 €,30 886 €,9 659 €,8 608 €,27 996 €,1 200 €,3 044 €,181 691 €
Rapla Maarja-Magdaleena Kogudus,vald438,2018,2200,63,26,67,8,7,0,10,484,Lääne-Harju,205 461 €,32 669 €,10 461 €,7 668 €,51 716 €,3 686 €,2 731 €,204 998 €
Rapla Maarja-Magdaleena Kogudus,vald439,2019,2100,52,16,50,6,5,0,10,456,Lääne-Harju,163 049 €,34 801 €,13 314 €,5 356 €,28 623 €,4 522 €, 0 €,173 095 €
Rapla Maarja-Magdaleena Kogudus,vald440,2020,2100,38,24,63,4,3,0,4,450,Lääne-Harju,192 744 €,39 437 €,11 268 €,6 224 €,37 055 €,95 215 €, 0 €,177 747 €
Reigi Jeesuse Kogudus,vald441,2017,350,21,4,7,1,1,0,0,77,Saarte,17 881 €,3 365 €,2 440 €, 706 €,6 500 €,2 172 €,1 158 €,20 110 €
Reigi Jeesuse Kogudus,vald442,2018,350,19,1,13,1,1,0,0,75,Saarte,23 876 €,3 859 €,2 395 €, 700 €, 0 €,2 721 €, 199 €,48 324 €
Reigi Jeesuse Kogudus,vald443,2019,350,21,0,15,2,2,0,0,69,Saarte,51 201 €,3 767 €,3 174 €,1 800 €,18 942 €,1 979 €,1 165 €,40 295 €
Reigi Jeesuse Kogudus,vald444,2020,300,12,2,9,0,0,0,0,62,Saarte,41 304 €,3 393 €,2 791 €,1 070 €,30 174 €,2 399 €, 0 €,45 149 €
Ridala Püha Maarja Magdaleena Kogudus,vald445,2017,409,17,4,2,2,2,0,4,56,Lääne,32 615 €,3 452 €,2 137 €, 595 €,3 705 €,1 166 €,10 670 €,31 322 €
Ridala Püha Maarja Magdaleena Kogudus,vald446,2018,414,17,6,2,2,0,0,6,44,Lääne,31 957 €,4 263 €,2 328 €, 799 €,6 956 €,1 215 €,10 441 €,30 365 €
Ridala Püha Maarja Magdaleena Kogudus,vald447,2019,464,19,10,5,1,1,0,4,55,Lääne,47 358 €,5 892 €,2 313 €,1 088 €,1 997 €,1 328 €,6 059 €,50 312 €
Ridala Püha Maarja Magdaleena Kogudus,vald448,2020,471,14,5,6,0,0,0,5,43,Lääne,32 430 €,4 785 €,2 694 €, 555 €,8 392 €, 325 €,8 479 €,34 319 €
Risti Kogudus,vald449,2017,764,46.46,24,25,5,0,48,15,312,Lääne-Harju,81 037 €,15 875 €,29 311 €,3 871 €,4 969 €,7 067 €,9 396 €,80 362 €
Risti Kogudus,vald450,2018,847,41,24,19,2,0,22,18,325,Lääne-Harju,105 844 €,19 705 €,7 678 €,2 595 €,7 569 €,3 525 €,16 531 €,126 732 €
Risti Kogudus,vald451,2019,901,45,19,28,3,0,59,24,341,Lääne-Harju,95 174 €,22 747 €,5 079 €,5 668 €,1 844 €,5 386 €,6 015 €,66 223 €
Risti Kogudus,vald452,2020,909,37,36,36,2,0,5,46,374,Lääne-Harju,136 895 €,28 754 €,6 781 €,8 378 €,57 222 €,6 580 €,10 569 €,-129 751 €
Rõngu Mihkli Kogudus,vald453,2017,200,26,7,14,2,0,10,0,84,Valga,14 101 €,1 950 €,3 526 €, 240 €,3 425 €,3 774 €, 741 €,9 071 €
Rõngu Mihkli Kogudus,vald454,2018,200,26,6,13,0,0,5,0,90,Valga,20 363 €,1 703 €,4 791 €, 280 €,4 493 €,4 999 €, 600 €,13 817 €
Rõngu Mihkli Kogudus,vald455,2019,200,26,3,13,1,1,0,0,91,Valga,15 562 €,2 345 €,3 116 €, 100 €,1 200 €,5 661 €,1 031 €,28 492 €
Rõngu Mihkli Kogudus,vald456,2020,200,12,0,12,0,0,0,0,86,Valga,23 460 €,1 365 €,2 443 €, 350 €,8 614 €,6 101 €, 0 €,36 463 €
Roosa Jakobi Kogudus,vald457,2017,60,11,0,3,0,0,0,0,18,Võru, 0 €, 0 €, 0 €, 0 €, 0 €, 0 €, 0 €, 0 €
Roosa Jakobi Kogudus,vald458,2018,58,13,0,3,0,0,0,0,22,Võru, 80 €, 80 €, 0 €, 0 €, 0 €, 0 €, 0 €, 191 €
Roosa Jakobi Kogudus,vald459,2019,58,15,0,3,0,0,0,0,21,Võru, 50 €, 50 €, 0 €, 0 €, 0 €, 0 €, 0 €, 133 €
Roosa Jakobi Kogudus,vald460,2020,59,5,0,3,0,0,0,0,22,Võru,1 712 €, 310 €, 55 €, 50 €, 675 €, 0 €, 0 €,1 190 €
Rootsi-Mihkli,vald461,2017,436,58,6,8,10,0,0,18,174,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rootsi-Mihkli,vald462,2018,448,60,5,6,7,0,0,23,196,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rootsi-Mihkli,vald463,2019,462,65,7,7,6,0,0,23,198,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rootsi-Mihkli,vald464,2020,469,18,3,9,2,0,0,24,208,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rõuge Maarja Kogudus,vald465,2017,2503,49,25,42,7,7,0,12,340,Võru,25 385 €,12 069 €,2 146 €, 170 €,3 200 €, 969 €, 0 €,24 684 €
Rõuge Maarja Kogudus,vald466,2018,2508,45,38,32,10,10,0,15,327,Võru,35 321 €,12 186 €,2 783 €,1 675 €,3 300 €,1 548 €, 0 €,29 412 €
Rõuge Maarja Kogudus,vald467,2019,2500,48,30,30,7,7,0,0,321,Võru,34 458 €,12 730 €,3 608 €, 750 €,3 300 €,1 930 €, 0 €,37 027 €
Rõuge Maarja Kogudus,vald468,2020,2500,12,22,27,5,5,3,0,286,Võru,156 336 €,12 663 €,3 936 €, 910 €,3 300 €,2 102 €,116 000 €,40 296 €
Ruhnu Püha Magdaleena Kogudus,vald469,2017,50,15,2,1,0,0,0,0,14,Saarte,10 682 €, 312 €,8 611 €, 481 €, 0 €,1 240 €, 0 €,5 404 €
Ruhnu Püha Magdaleena Kogudus,vald470,2018,50,5,0,0,1,1,0,0,13,Saarte,15 119 €, 359 €,1 831 €, 100 €,6 404 €,6 325 €, 0 €,14 753 €
Ruhnu Püha Magdaleena Kogudus,vald471,2019,50,28,1,3,1,0,0,0,14,Saarte,21 250 €, 689 €,2 375 €, 900 €,11 131 €,6 155 €, 0 €,20 461 €
Ruhnu Püha Magdaleena Kogudus,vald472,2020,61,7,2,0,0,0,0,0,20,Saarte,12 089 €, 690 €,1 839 €, 50 €,2 050 €, 0 €, 0 €,10 461 €
Saarde Katariina Kogudus,vald473,2017,830,50,3,18,1,0,8,780,60,Pärnu,86 067 €,1 686 €,17 850 €,3 540 €,1 297 €, 0 €,26 847 €,79 436 €
Saarde Katariina Kogudus,vald474,2018,832,50,0,18,1,0,8,700,61,Pärnu,29 636 €,1 525 €,13 405 €,1 150 €,1 250 €, 0 €,10 219 €,34 035 €
Saarde Katariina Kogudus,vald475,2019,830,8,13,27,0,0,10,97,40,Pärnu,54 874 €,1 760 €, 0 €,3 120 €,6 750 €, 0 €,15 884 €,48 862 €
Saarde Katariina Kogudus,vald476,2020,803,15,4,18,0,0,0,76,64,Pärnu,67 062 €,2 004 €,16 632 €,2 480 €,12 826 €,3 500 €,29 620 €,63 783 €
Saaremaa Jaani Kogudus,vald477,2017,90,15,0,1,0,0,0,0,18,Saarte,1 140 €, 535 €, 352 €, 50 €, 0 €, 200 €, 0 €,5 978 €
