kogudus,asukoht_nimi,asukoht,praostkond,aasta,liikmeid_kokku,keskmiselt_vottis_jumala_teenistustest_osa,ristiti,maeti,laulatati,abielu_registreeriti,noorte_toos_osales,lastetoos_osales,annetaja_liikmeid_oli_kokku,tulud_kokku,liikmeannetused,korjandused,ametitalitused,avaliku_sektori_toetused_kokku,tulu_kinnisvarast,valisannetused_ja_toetused_kokku,kulud_kokku
Valjala Martini Kogudus,Saaremaa vald,vald56,Saarte,2017, 428, 16, 2, 11, 1, 1, 0, 100, 132,92 913 €,2 914,7 428, 840,59 000,9 653,7 929,86 652 €
Valjala Martini Kogudus,Saaremaa vald,vald56,Saarte,2018, 433, 16, 10, 13, 2, 2, 0, 98, 126,107 924 €,6 180,1 985, 600,64 000,25 643,7 500,92 615 €
Valjala Martini Kogudus,Saaremaa vald,vald56,Saarte,2019, 431, 15, 3, 10, 2, 2, 0, 30, 122,77 181 €,6 414,1 924, 600,6 250,11 480,9 500,80 634 €
Valjala Martini Kogudus,Saaremaa vald,vald56,Saarte,2020, 424, 9, 2, 9, 0, 0, 0, 0, 99,-,-,-,-,-,-,-,-
Vändra Martini Kogudus,Põhja-Pärnumaa vald,vald12,Pärnu,2017, 146, 19, 5, 0, 0, 0, 0, 0, 69,70 851 €,2 479,10 547, 240,1 650,2 643, 0,20 130 €
Vändra Martini Kogudus,Põhja-Pärnumaa vald,vald12,Pärnu,2018, 147, 23, 9, 7, 2, 0, 0, 0, 73,57 275 €,2 765,2 697, 570,10 300,2 957, 0,73 514 €
Vändra Martini Kogudus,Põhja-Pärnumaa vald,vald12,Pärnu,2019, 146, 20, 1, 5, 0, 0, 0, 0, 71,91 592 €,4 763,25 234, 220,1 700,2 430, 0,74 832 €
Vändra Martini Kogudus,Põhja-Pärnumaa vald,vald12,Pärnu,2020, 139, 9, 1, 7, 0, 0, 0, 0, 53,30 182 €,2 741,19 814, 260,3 455,2 928, 0,18 859 €
Vara Brigitta Kogudus,Peipsiääre vald,vald76,Tartu,2017, 70, 18, 1, 0, 1, 0, 0, 0, 31,1 878 €, 195, 738, 70, 0, 0, 0,1 900 €
Vara Brigitta Kogudus,Peipsiääre vald,vald76,Tartu,2018, 64, 16, 0, 3, 0, 0, 0, 0, 32,1 940 €, 204, 857, 30, 0, 0, 0,2 306 €
Vara Brigitta Kogudus,Peipsiääre vald,vald76,Tartu,2019, 63, 14, 0, 2, 0, 0, 0, 0, 30,2 388 €, 195, 973, 0, 0, 0, 0,2 050 €
Vara Brigitta Kogudus,Peipsiääre vald,vald76,Tartu,2020, 60, 6, 0, 1, 0, 0, 0, 0, 27,11 970 €, 250, 249, 0, 835,10 637, 0,3 559 €
Varbla Püha Urbanuse Kogudus,Lääneranna vald,vald48,Lääne,2017, 200, 19, 9, 4, 0, 0, 0, 0, 107,24 354 €,3 274,2 958, 455, 350,14 193,3 113,22 861 €
Varbla Püha Urbanuse Kogudus,Lääneranna vald,vald48,Lääne,2018, 201, 21, 2, 8, 0, 0, 0, 0, 106,8 652 €,3 345,1 452, 600, 350, 0, 0,14 416 €
Varbla Püha Urbanuse Kogudus,Lääneranna vald,vald48,Lääne,2019, 194, 15, 0, 1, 0, 0, 0, 0, 100,9 835 €,3 177,1 868, 60, 950,1 220, 0,9 056 €
Varbla Püha Urbanuse Kogudus,Lääneranna vald,vald48,Lääne,2020, 191, 12, 2, 3, 0, 0, 0, 0, 95,8 160 €,3 048,1 431, 435,2 490, 707, 0,7 864 €
Vastseliina Katariina Kogudus,Võru vald,vald60,Võru,2017,5 000, 28, 12, 46, 1, 1, 3, 65, 480,39 404 €,16 983,3 648,2 299,10 597, 758, 0,37 007 €
Vastseliina Katariina Kogudus,Võru vald,vald60,Võru,2018,5 000, 27, 12, 33, 3, 1, 0, 0, 470,41 221 €,17 177,4 445,1 929,9 250, 565, 0,37 026 €
Vastseliina Katariina Kogudus,Võru vald,vald60,Võru,2019,5 000, 26, 23, 30, 2, 2, 50, 15, 440,45 700 €,17 683,3 548,1 378,4 660, 663, 0,29 754 €
Vastseliina Katariina Kogudus,Võru vald,vald60,Võru,2020,2 000, 10, 7, 28, 3, 1, 0, 0, 371,39 221 €,17 947,2 877,2 140,12 470, 300, 0,57 128 €
Vigala Maarja Kogudus,Märjamaa vald,vald31,Pärnu,2017, 500, 28, 3, 10, 0, 0, 0, 7, 203,28 072 €,3 230,3 538, 776,3 900,3 026, 0,30 834 €
Vigala Maarja Kogudus,Märjamaa vald,vald31,Pärnu,2018, 500, 26, 2, 18, 1, 0, 0, 4, 197,29 686 €,3 463,3 940, 992,2 900,3 637,1 122,30 326 €
Vigala Maarja Kogudus,Märjamaa vald,vald31,Pärnu,2019, 500, 29, 4, 19, 1, 0, 0, 3, 191,34 603 €,3 522,4 045,1 405,2 900,4 322,1 364,33 775 €
Vigala Maarja Kogudus,Märjamaa vald,vald31,Pärnu,2020, 300, 18, 5, 15, 0, 0, 0, 0, 187,35 996 €,3 136,4 040,1 306,16 895,6 105,-,32 440 €
Viimsi Püha Jaakobi Kogudus,Viimsi vald,vald42,Tallinna,2017, 765, 35, 18, 13, 6, 6, 10, 5, 158,111 338 €,18 743,7 093,1 860,4 400,4 086, 0,129 062 €
Viimsi Püha Jaakobi Kogudus,Viimsi vald,vald42,Tallinna,2018, 791, 29, 22, 8, 6, 6, 0, 0, 159,47 939 €,17 663,6 486,1 300,5 800,3 918, 0,53 108 €
Viimsi Püha Jaakobi Kogudus,Viimsi vald,vald42,Tallinna,2019, 824, 31, 19, 9, 8, 6, 0, 0, 168,39 092 €,19 167,6 741,3 604,2 000,4 007, 0,39 456 €
Viimsi Püha Jaakobi Kogudus,Viimsi vald,vald42,Tallinna,2020, 166, 19, 13, 14, 7, 7, 0, 0, 166,43 624 €,22 774,5 257,4 130,10 237,1 032, 0,40 641 €
Viljandi Jaani Kogudus,Viljandi linn,vald19,Viljandi,2017,1 859, 42, 17, 17, 6, 6, 8, 40, 312,128 684 €,24 641,10 283,6 088,15 400,17 200,11 945,115 268 €
Viljandi Jaani Kogudus,Viljandi linn,vald19,Viljandi,2018,1 877, 43, 15, 27, 8, 7, 12, 35, 257,144 821 €,26 002,9 884,8 160,19 116,17 505,12 794,131 720 €
Viljandi Jaani Kogudus,Viljandi linn,vald19,Viljandi,2019,1 884, 39, 11, 13, 1, 1, 13, 37, 286,178 798 €,27 314,14 518,3 550,20 000,20 638,10 185,163 959 €
Viljandi Jaani Kogudus,Viljandi linn,vald19,Viljandi,2020,1 898, 30, 22, 11, 2, 2, 10, 12, 279,169 173 €,28 549,8 567,2 870,39 779,16 037,10 631,164 114 €
Viljandi Pauluse Kogudus,Viljandi linn,vald19,Viljandi,2017, 884, 42, 27, 21, 3, 3, 0, 15, 279,139 427 €,15 385,7 593,4 625,14 500,31 931, 77,113 502 €
Viljandi Pauluse Kogudus,Viljandi linn,vald19,Viljandi,2018, 888, 40, 17, 35, 3, 5, 0, 10, 328,304 946 €,16 118,9 001,6 290,231 300,21 115,1 385,104 667 €
Viljandi Pauluse Kogudus,Viljandi linn,vald19,Viljandi,2019, 891, 36, 19, 40, 4, 3, 0, 4, 310,437 187 €,16 787,8 961,6 410,15 000,30 955,1 459,379 294 €
Viljandi Pauluse Kogudus,Viljandi linn,vald19,Viljandi,2020, 897, 28, 22, 38, 4, 4, 0, 2, 286,219 794 €,17 007,5 293,7 787,146 185,20 847, 350,268 410 €
Viru-Jaakobi Kogudus,Vinni vald,vald7,Viru,2017, 435, 20, 18, 4, 0, 0, 20, 0, 67,5 946 €,4 546, 95, 55, 0, 700, 550,6 054 €
Viru-Jaakobi Kogudus,Vinni vald,vald7,Viru,2018, 390, 16, 10, 7, 1, 0, 7, 0, 61,9 503 €,3 353, 75, 50, 700, 650,2 675,5 412 €
Viru-Jaakobi Kogudus,Vinni vald,vald7,Viru,2019, 300, 14, 13, 4, 1, 1, 0, 0, 58,9 847 €,3 870, 10, 25,2 472, 700,2 770,8 620 €
Viru-Jaakobi Kogudus,Vinni vald,vald7,Viru,2020, 200, 5, 3, 9, 0, 0, 0, 0, 55,-,-,-,-,-,-,-,-
Viru-Nigula Kogudus,Viru-Nigula vald,vald73,Viru,2017, 50, 10, 0, 2, 0, 0, 0, 0, 50,56 888 €,1 966,3 833, 305,1 320, 175, 0,63 806 €
Viru-Nigula Kogudus,Viru-Nigula vald,vald73,Viru,2018, 49, 7, 3, 7, 0, 0, 0, 0, 30,7 051 €,2 055,2 188, 860,1 120, 331, 255,4 764 €
Viru-Nigula Kogudus,Viru-Nigula vald,vald73,Viru,2019, 46, 6, 0, 7, 0, 0, 0, 0, 29,6 487 €, 987,2 200, 360,1 500,1 416, 0,4 898 €
Viru-Nigula Kogudus,Viru-Nigula vald,vald73,Viru,2020, 500, 12, 2, 3, 1, 0, 0, 0, 41,5 896 €,2 045,2 807, 280, 320, 175, 0,4 763 €
Võnnu Jakobi Kogudus,Kastre vald,vald62,Tartu,2017, 511, 22, 2, 26, 0, 0, 0, 4, 134,14 431 €,2 827,3 218, 205,4 150,2 038, 0,13 764 €
Võnnu Jakobi Kogudus,Kastre vald,vald62,Tartu,2018, 517, 22, 18, 16, 1, 1, 0, 0, 138,29 668 €,3 180,1 540, 896,5 500,2 799, 0,29 490 €
Võnnu Jakobi Kogudus,Kastre vald,vald62,Tartu,2019, 508, 20, 3, 15, 2, 1, 0, 0, 125,17 215 €,3 245,2 653, 450,5 000,3 629, 0,19 468 €
